filename,dimensions,level_count,level_0_dimensions,level_0_downsample,level_1_dimensions,level_1_downsample,level_2_dimensions,level_2_downsample,level_3_dimensions,level_3_downsample
TCGA-55-6969-01Z-00-DX1.713df9f6-1a91-4e0e-ad43-42e66dcca191.svs,"(69065, 53216)",4,"(69065, 53216)",1.0,"(17266, 13304)",4.000028958647052,"(4316, 3326)",16.001042632066728,"(2158, 1663)",32.002085264133456
TCGA-44-2661-01Z-00-DX1.20cfa0f8-e3ca-4c26-9dfe-b9d416cd94b1.svs,"(156357, 46070)",4,"(156357, 46070)",1.0,"(39089, 11517)",4.000099619489424,"(9772, 2879)",16.001297861474335,"(2443, 719)",64.03857548774079
TCGA-75-6205-01Z-00-DX1.B75BC6BA-5196-4F62-BDA2-3F1D320ABD7C.svs,"(57967, 24304)",3,"(57967, 24304)",1.0,"(14491, 6076)",4.0001035125250155,"(3622, 1519)",16.002070679182772,,
TCGA-55-8620-01Z-00-DX1.6591EEC4-D696-4826-80BD-99BE1D99EBB8.svs,"(44125, 40580)",3,"(44125, 40580)",1.0,"(11031, 10145)",4.000045326806273,"(2757, 2536)",16.00314627864375,,
TCGA-75-7025-01Z-00-DX1.284477D7-4F47-4084-A15C-0A7E9571E3DF.svs,"(25985, 18725)",3,"(25985, 18725)",1.0,"(6496, 4681)",4.000183785226516,"(3248, 2340)",8.001222316955076,,
TCGA-44-6777-01Z-00-DX1.aca7b23d-a601-4476-8bfd-eb46f0b6a96e.svs,"(125661, 68384)",4,"(125661, 68384)",1.0,"(31415, 17096)",4.000015915963711,"(7853, 4274)",16.000827709155736,"(3926, 2137)",32.00369332654101
TCGA-69-A59K-01Z-00-DX1.01EAF520-9AC1-4ECC-8EF3-B9122924A1E3.svs,"(89488, 75737)",4,"(89488, 75737)",1.0,"(22372, 18934)",4.000026407520862,"(5593, 4733)",16.000950771181067,"(2796, 2366)",32.00814440868915
TCGA-55-6984-01Z-00-DX1.d53e387a-9618-4486-98f3-a75604f25a7d.svs,"(95924, 62563)",4,"(95924, 62563)",1.0,"(23981, 15640)",4.000095907928388,"(5995, 3910)",16.000717243056343,"(2997, 1955)",32.00410393343044
TCGA-NJ-A4YP-01Z-00-DX1.148BFF66-4DC7-468C-8783-97F27C2E1245.svs,"(99599, 77786)",4,"(99599, 77786)",1.0,"(24899, 19446)",4.0001116678407405,"(6224, 4861)",16.002233607792782,"(3112, 2430)",32.00775981994562
TCGA-55-8511-01Z-00-DX1.8EDFB05B-5B59-46EA-973C-1048B1E284D2.svs,"(47962, 31231)",3,"(47962, 31231)",1.0,"(11990, 7807)",4.000275538098922,"(2997, 1951)",16.005512517472198,,
TCGA-L9-A443-01Z-00-DX1.9F68A13A-2865-41BF-88A7-B0DF75961C6F.svs,"(111384, 95462)",4,"(111384, 95462)",1.0,"(27846, 23865)",4.000041902367483,"(6961, 5966)",16.001077479562277,"(3480, 2983)",32.00445397482285
TCGA-55-8621-01Z-00-DX1.7C519007-D59D-432A-BF4D-23D14A1C8BB6.svs,"(36451, 35444)",3,"(36451, 35444)",1.0,"(9112, 8861)",4.000164618086041,"(2278, 2215)",16.001561406881407,,
TCGA-97-A4M1-01Z-00-DX1.1C4B8247-BA3F-4841-BC9D-554F03F7894C.svs,"(100546, 58733)",4,"(100546, 58733)",1.0,"(25136, 14683)",4.000073836563786,"(6284, 3670)",16.00193025147557,"(3142, 1835)",32.00386050295114
TCGA-MN-A4N4-01Z-00-DX1.7D8352EF-7A4B-4084-9612-CF92D9D16041.svs,"(119519, 90765)",4,"(119519, 90765)",1.0,"(29879, 22691)",4.000072237651478,"(7469, 5672)",16.002150130742564,"(3734, 2836)",32.006443004964105
TCGA-55-7994-01Z-00-DX1.a0858080-c471-4337-bc57-7af57e9d92d8.svs,"(51799, 29995)",3,"(51799, 29995)",1.0,"(12949, 7498)",4.000315892408491,"(3237, 1874)",16.004016146681792,,
TCGA-35-5375-01Z-00-DX1.10708170-750A-451B-BC10-0B4042540033.svs,"(59473, 53895)",4,"(59473, 53895)",1.0,"(14868, 13473)",4.0001449630495856,"(3717, 3368)",16.00117370948272,"(1858, 1684)",32.0066531964235
TCGA-NJ-A4YF-01Z-00-DX1.4A3DE76A-9F1E-4766-A013-5E7E3A665071.svs,"(191231, 86398)",4,"(191231, 86398)",1.0,"(47807, 21599)",4.000077674598046,"(11951, 5399)",16.001924098942695,"(2987, 1349)",64.03352568319897
TCGA-J2-8194-01Z-00-DX1.7700924D-B6AF-46A7-A7D7-B5C17A66C5F7.svs,"(191352, 97078)",4,"(191352, 97078)",1.0,"(47838, 24269)",4.0000412048292056,"(11959, 6067)",16.000828954452132,"(2989, 1516)",64.02717770788405
TCGA-S2-AA1A-01Z-00-DX1.4B5D5FAE-8305-4D2D-B245-584589352886.svs,"(101591, 88406)",4,"(101591, 88406)",1.0,"(25397, 22101)",4.000104308915359,"(6349, 5525)",16.001094254341545,"(3174, 2762)",32.00760580969472
TCGA-73-4677-01Z-00-DX1.b557785c-9ccc-42a7-bb54-7bb47638ddfc.svs,"(114150, 60176)",4,"(114150, 60176)",1.0,"(28537, 15044)",4.000035042225882,"(7134, 3761)",16.000420521446593,"(3567, 1880)",32.005096362042124
TCGA-97-7547-01Z-00-DX1.3563966f-21ee-4405-9106-9e0bf8df9f1a.svs,"(93046, 70908)",4,"(93046, 70908)",1.0,"(23261, 17727)",4.000042990413138,"(5815, 4431)",16.001870003277542,"(2907, 2215)",32.01010451148896
